PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
11850,20070731,XOM,EXXON MOBIL CORP,85.13,5596511,0.014902
11850,20070831,XOM,EXXON MOBIL CORP,85.73,6874294,0.011159
11850,20070928,XOM,EXXON MOBIL CORP,92.56,4462503,0.079669
11850,20071031,XOM,EXXON MOBIL CORP,91.99,5135047,-0.006158
11850,20071130,XOM,EXXON MOBIL CORP,89.16,5479184,-0.026959
11850,20071231,XOM,EXXON MOBIL CORP,93.69,3866979,0.050808
11850,20080131,XOM,EXXON MOBIL CORP,86.4,6156267,-0.07781
11850,20080229,XOM,EXXON MOBIL CORP,87.01,4910748,0.011111
11850,20080331,XOM,EXXON MOBIL CORP,84.58,6087677,-0.027928
11850,20080430,XOM,EXXON MOBIL CORP,93.07,4830980,0.100378
11850,20080530,XOM,EXXON MOBIL CORP,88.76,5758718,-0.042011
11850,20080630,XOM,EXXON MOBIL CORP,88.13,5657684,-0.007098
11850,20080731,XOM,EXXON MOBIL CORP,80.43,6854842,-0.087371
11850,20080829,XOM,EXXON MOBIL CORP,80.01,5430527,-0.000249
11850,20080930,XOM,EXXON MOBIL CORP,77.66,7709190,-0.029371
11850,20081031,XOM,EXXON MOBIL CORP,74.12,13845105,-0.045583
11850,20081128,XOM,EXXON MOBIL CORP,80.15,10076141,0.086751
11850,20081231,XOM,EXXON MOBIL CORP,79.83,9977666,-0.003993
11850,20090130,XOM,EXXON MOBIL CORP,76.48,8447808,-0.041964
11850,20090227,XOM,EXXON MOBIL CORP,67.9,7715785,-0.106956
11850,20090331,XOM,EXXON MOBIL CORP,68.1,9335388,0.002945
11850,20090430,XOM,EXXON MOBIL CORP,66.67,6328963,-0.020999
11850,20090529,XOM,EXXON MOBIL CORP,69.35,5305886,0.046498
11850,20090630,XOM,EXXON MOBIL CORP,69.91,5970244,0.008075
11850,20090731,XOM,EXXON MOBIL CORP,70.39,5603673,0.006866
11850,20090831,XOM,EXXON MOBIL CORP,69.15,4377095,-0.011649
11850,20090930,XOM,EXXON MOBIL CORP,68.61,4192284,-0.007809
11850,20091030,XOM,EXXON MOBIL CORP,71.67,5013427,0.0446
11850,20091130,XOM,EXXON MOBIL CORP,75.07,3564544,0.0533
11850,20091231,XOM,EXXON MOBIL CORP,68.19,6489832,-0.091648
11850,20100129,XOM,EXXON MOBIL CORP,64.43,5965357,-0.05514
11850,20100226,XOM,EXXON MOBIL CORP,65,5348905,0.015366
11850,20100331,XOM,EXXON MOBIL CORP,66.98,5828071,0.030462
11850,20100430,XOM,EXXON MOBIL CORP,67.77,5313388,0.011794
11850,20100528,XOM,EXXON MOBIL CORP,60.46,7687117,-0.101372
11850,20100630,XOM,EXXON MOBIL CORP,57.07,8085676,-0.05607
11850,20100730,XOM,EXXON MOBIL CORP,59.68,6135343,0.045733
11850,20100831,XOM,EXXON MOBIL CORP,59.11,4757384,-0.002178
11850,20100930,XOM,EXXON MOBIL CORP,61.79,4234216,0.045339
11850,20101029,XOM,EXXON MOBIL CORP,66.49,4304986,0.076064
11850,20101130,XOM,EXXON MOBIL CORP,69.56,4864111,0.05279
11850,20101231,XOM,EXXON MOBIL CORP,73.12,4092743,0.051179
11850,20110131,XOM,EXXON MOBIL CORP,80.68,4494291,0.103392
11850,20110228,XOM,EXXON MOBIL CORP,85.53,4436565,0.065568
11850,20110331,XOM,EXXON MOBIL CORP,84.13,4396444,-0.016369
11850,20110429,XOM,EXXON MOBIL CORP,87.98,3099523,0.045763
11850,20110531,XOM,EXXON MOBIL CORP,83.47,4040538,-0.04592
11850,20110630,XOM,EXXON MOBIL CORP,81.38,4444463,-0.025039
11850,20110729,XOM,EXXON MOBIL CORP,79.79,3755057,-0.019538
11850,20110831,XOM,EXXON MOBIL CORP,74.02,7742181,-0.066424
11850,20110930,XOM,EXXON MOBIL CORP,72.63,5505658,-0.018779
11850,20111031,XOM,EXXON MOBIL CORP,78.09,5141993,0.075176
11850,20111130,XOM,EXXON MOBIL CORP,80.44,4443710,0.036112
11850,20111230,XOM,EXXON MOBIL CORP,84.76,3801837,0.053705
11850,20120131,XOM,EXXON MOBIL CORP,83.74,3335805,-0.012034
11850,20120229,XOM,EXXON MOBIL CORP,86.5,3007435,0.038572
11850,20120330,XOM,EXXON MOBIL CORP,86.73,3389348,0.002659
11850,20120430,XOM,EXXON MOBIL CORP,86.34,2995651,-0.004497
11850,20120531,XOM,EXXON MOBIL CORP,78.63,3537221,-0.082696
11850,20120629,XOM,EXXON MOBIL CORP,85.57,4980407,0.088262
11850,20120731,XOM,EXXON MOBIL CORP,86.85,3143523,0.014958
11850,20120831,XOM,EXXON MOBIL CORP,87.3,2480299,0.011744
11850,20120928,XOM,EXXON MOBIL CORP,91.45,2542257,0.047537
11850,20121031,XOM,EXXON MOBIL CORP,91.17,2411359,-0.003062
11850,20121130,XOM,EXXON MOBIL CORP,88.14,2857054,-0.026983
11850,20121231,XOM,EXXON MOBIL CORP,86.55,2824749,-0.018039
11850,20130131,XOM,EXXON MOBIL CORP,89.97,2615235,0.039515
11850,20130228,XOM,EXXON MOBIL CORP,89.55,2371979,0.001667
11850,20130328,XOM,EXXON MOBIL CORP,90.11,2650716,0.006253
11850,20130430,XOM,EXXON MOBIL CORP,88.99,2964028,-0.012429
11850,20130531,XOM,EXXON MOBIL CORP,90.47,2761396,0.023711
11850,20130628,XOM,EXXON MOBIL CORP,90.35,2918229,-0.001326
11850,20130731,XOM,EXXON MOBIL CORP,93.75,2378340,0.037631
11850,20130830,XOM,EXXON MOBIL CORP,87.16,2716749,-0.063573
11850,20130930,XOM,EXXON MOBIL CORP,86.04,2386114,-0.01285
11850,20131031,XOM,EXXON MOBIL CORP,89.62,2877325,0.041609
11850,20131129,XOM,EXXON MOBIL CORP,93.48,2503937,0.0501
11850,20131231,XOM,EXXON MOBIL CORP,101.2,2693298,0.082584
11850,20140131,XOM,EXXON MOBIL CORP,92.16,2570056,-0.089328
11850,20140228,XOM,EXXON MOBIL CORP,96.27,2537593,0.051432
11850,20140331,XOM,EXXON MOBIL CORP,97.68,2557281,0.014646
11850,20140430,XOM,EXXON MOBIL CORP,102.41,2309492,0.048423
11850,20140530,XOM,EXXON MOBIL CORP,100.53,1798890,-0.01162
11850,20140630,XOM,EXXON MOBIL CORP,100.68,2089830,0.001492
11850,20140731,XOM,EXXON MOBIL CORP,98.94,1894342,-0.017282
11850,20140829,XOM,EXXON MOBIL CORP,99.46,1875023,0.01223
11850,20140930,XOM,EXXON MOBIL CORP,94.05,2319138,-0.054394
11850,20141031,XOM,EXXON MOBIL CORP,96.71,3421723,0.028283
